-0.133	8.53
-0.12	0.37
-0.0699999999999998	0.37
-0.02	0.7
0.0299999999999998	2.2
0.0800000000000001	3.2
0.131	4.37
0.181	5.87
0.237	10.87
0.287	13.03
0.338	17.03
0.389	25.87
0.44	37.2
0.491	50.87
0.541	81.53
0.592	107.2
0.648	177.2
0.698	256.53
0.748	359.87
0.798	512.2
0.847	680.2
0.898	880.87
0.948	1195.53
1.006	1594.37
1.056	2043.7
1.107	2561.7
1.157	3033.7
1.207	3528.37
1.257	3739.53
1.308	3816.53
1.364	3846.03
1.415	3747.2
1.465	3609.2
1.515	1950.03
1.564	1227.7
1.614	917.53
1.663	791.03
1.713	797.03
1.767	813.37
1.816	911.03
1.864	987.7
1.913	1080.37
1.961	1132.87
2.012	1188.53
2.061	1182.37
2.117	1122.2
2.166	1069.37
2.216	1000.87
2.265	906.03
2.315	782.87
2.364	671.87
2.414	588.03
2.464	479.87
2.521	410.2
2.571	327.2
2.62	267.53
2.668	223.2
2.718	191.03
2.768	164.2
2.817	144.37
2.873	120.53
