"Mass"	"Intensity"
"301"	49.96	2.66581
"302"	50.02	0
"303"	50.09	0
"304"	50.15	0
"305"	50.21	0
"306"	50.27	0
"307"	50.34	0
"308"	50.4	0
"309"	50.46	0
"310"	50.52	0
"311"	50.59	0
"312"	50.65	0
"313"	50.71	0
"314"	50.77	0
"315"	50.84	0
"316"	50.9	0
"317"	50.96	0
"318"	51.02	0
"319"	51.09	0
"320"	51.15	0
"321"	51.21	0
"322"	51.27	0
"323"	51.34	0
"324"	51.4	0
"325"	51.46	0
"326"	51.52	0
"327"	51.59	0
"328"	51.65	0
"329"	51.71	0
"330"	51.77	0
"331"	51.84	0
"332"	51.9	2.66581
"333"	51.96	0
"334"	52.02	0
"335"	52.09	0
"336"	52.15	0
"337"	52.21	5.33163
"338"	52.27	0
"339"	52.34	5.33163
"340"	52.4	7.99744
"341"	52.46	10.6633
"342"	52.52	5.33163
"343"	52.59	5.33163
"344"	52.65	18.6607
"345"	52.71	5.33163
"346"	52.77	2.66581
"347"	52.84	0
"348"	52.9	2.66581
"349"	52.96	13.3291
"350"	53.02	10.6633
"351"	53.09	0
"352"	53.15	5.33163
"353"	53.21	2.66581
"354"	53.27	7.99744
"355"	53.34	2.66581
"356"	53.4	5.33163
"357"	53.46	2.66581
"358"	53.52	7.99744
"359"	53.59	2.66581
"360"	53.65	10.6633
"361"	53.71	7.99744
"362"	53.77	0
"363"	53.84	18.6607
"364"	53.9	5.33163
"365"	53.96	5.33163
"366"	54.02	5.33163
"367"	54.09	2.66581
"368"	54.15	2.66581
"369"	54.21	2.66581
"370"	54.27	0
"371"	54.34	5.33163
"372"	54.4	2.66581
"373"	54.46	7.99744
"374"	54.52	5.33163
"375"	54.59	13.3291
"376"	54.65	7.99744
"377"	54.71	2.66581
"378"	54.77	0
"379"	54.84	5.33163
"380"	54.9	0
"381"	54.96	2.66581
"382"	55.02	2.66581
"383"	55.09	5.33163
"384"	55.15	7.99744
"385"	55.21	0
"386"	55.27	5.33163
"387"	55.34	15.9949
"388"	55.4	0
"389"	55.46	10.6633
"390"	55.52	10.6633
"391"	55.59	7.99744
"392"	55.65	7.99744
"393"	55.71	0
"394"	55.77	0
"395"	55.84	2.66581
"396"	55.9	2.66581
"397"	55.96	0
"398"	56.02	0
"399"	56.09	0
"400"	56.15	2.66581
"401"	56.21	2.66581
"402"	56.27	2.66581
"403"	56.34	0
"404"	56.4	0
"405"	56.46	0
"406"	56.52	2.66581
"407"	56.59	7.99744
"408"	56.65	2.66581
"409"	56.71	2.66581
"410"	56.77	5.33163
"411"	56.84	5.33163
"412"	56.9	5.33163
"413"	56.96	2.66581
"414"	57.02	0
"415"	57.09	0
"416"	57.15	2.66581
"417"	57.21	0
"418"	57.27	0
"419"	57.34	0
"420"	57.4	0
