""	"ScanData"	"X1"
"305"	29	0
"306"	29.06	0
"307"	29.13	0
"308"	29.19	0
"309"	29.25	0
"310"	29.31	0
"311"	29.38	0
"312"	29.44	0
"313"	29.5	0
"314"	29.56	0
"315"	29.63	0
"316"	29.69	0
"317"	29.75	0
"318"	29.81	0
"319"	29.88	0
"320"	29.94	0
"321"	30	0
"322"	30.06	0
"323"	30.13	0
"324"	30.19	0
"325"	30.25	0
"326"	30.31	0
"327"	30.38	0
"328"	30.44	0
"329"	30.5	0
"330"	30.56	0
"331"	30.63	0
"332"	30.69	2.66581
"333"	30.75	0
"334"	30.81	0
"335"	30.88	0
"336"	30.94	0
"337"	31	5.33163
"338"	31.06	0
"339"	31.13	5.33163
"340"	31.19	7.99744
"341"	31.25	10.6633
"342"	31.31	5.33163
"343"	31.38	5.33163
"344"	31.44	18.6607
"345"	31.5	5.33163
"346"	31.56	2.66581
"347"	31.63	0
"348"	31.69	2.66581
"349"	31.75	13.3291
"350"	31.81	10.6633
"351"	31.88	0
"352"	31.94	5.33163
"353"	32	2.66581
"354"	32.06	7.99744
"355"	32.13	2.66581
"356"	32.19	5.33163
"357"	32.25	2.66581
"358"	32.31	7.99744
"359"	32.38	2.66581
"360"	32.44	10.6633
"361"	32.5	7.99744
"362"	32.56	0
"363"	32.63	18.6607
"364"	32.69	5.33163
"365"	32.75	5.33163
"366"	32.81	5.33163
"367"	32.88	2.66581
"368"	32.94	2.66581
"369"	33	2.66581
"370"	33.06	0
"371"	33.13	5.33163
"372"	33.19	2.66581
"373"	33.25	7.99744
"374"	33.31	5.33163
"375"	33.38	13.3291
"376"	33.44	7.99744
"377"	33.5	2.66581
"378"	33.56	0
"379"	33.63	5.33163
"380"	33.69	0
"381"	33.75	2.66581
"382"	33.81	2.66581
"383"	33.88	5.33163
"384"	33.94	7.99744
"385"	34	0
"386"	34.06	5.33163
"387"	34.13	15.9949
"388"	34.19	0
"389"	34.25	10.6633
"390"	34.31	10.6633
